2020-04-30 16:41:06.340 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 16:41:08.871 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'testController': Unsatisfied dependency expressed through field 'jdbcService'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'JDBCImpl': Unsatisfied dependency expressed through field 'jdbcTemplate'; nested exception is org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'jdbcTemplate' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/JdbcTemplateConfiguration.class]: Unsatisfied dependency expressed through method 'jdbcTemplate' parameter 0; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/autoconfigure/jdbc/DataSourceConfiguration$Hikari.class]: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception; nested exception is org.springframework.boot.autoconfigure.jdbc.DataSourceProperties$DataSourceBeanCreationException: Failed to determine a suitable driver class
2020-04-30 16:48:13.192 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 16:48:14.844 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'testController': Unsatisfied dependency expressed through field 'jdbcMapper'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'vip.juner.springboot.web.system.mapper.JDBCMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2020-04-30 16:49:37.559 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 16:49:39.191 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'testController': Unsatisfied dependency expressed through field 'jdbcMapper'; nested exception is org.springframework.beans.factory.NoSuchBeanDefinitionException: No qualifying bean of type 'vip.juner.springboot.web.system.mapper.JDBCMapper' available: expected at least 1 bean which qualifies as autowire candidate. Dependency annotations: {@org.springframework.beans.factory.annotation.Autowired(required=true)}
2020-04-30 16:59:37.753 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 16:59:39.366 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testController': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.BeanNotOfRequiredTypeException: Bean named 'jdbcService' is expected to be of type 'vip.juner.springboot.web.system.mapper.JDBCMapper' but was actually of type 'vip.juner.springboot.web.system.service.impl.JDBCImpl'
2020-04-30 17:02:18.647 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 17:02:20.468 [restartedMain] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[vip.juner.springboot.web.system.controller, vip.juner.springboot.web.system.controller.base, vip.juner.springboot.web.system.application]' package. Please check your configuration.
2020-04-30 17:02:21.441 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testController': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.BeanNotOfRequiredTypeException: Bean named 'jdbcService' is expected to be of type 'vip.juner.springboot.web.system.mapper.JDBCMapper' but was actually of type 'vip.juner.springboot.web.system.service.impl.JDBCImpl'
2020-04-30 17:02:22.652 [restartedMain] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'testController': Injection of resource dependencies failed; nested exception is org.springframework.beans.factory.BeanNotOfRequiredTypeException: Bean named 'jdbcService' is expected to be of type 'vip.juner.springboot.web.system.mapper.JDBCMapper' but was actually of type 'vip.juner.springboot.web.system.service.impl.JDBCImpl'
